Spodoptera frugiperda
Anastrepha curvicauda
Diatraea lisetta
Compsus viridivittatus
Dysdercus concinnus
Leptinotarsa decemlineata
Cyclocephala lunulata
Helicoverpa armigera
Ceratitis capitata
Helilipus lauri
Rhynchophorus palmarum
Strategus aloeus
Dalbulus maidis
Oebalus insularis
Tagosodes orizicolus
Diaphorina citri
Trichoplusia ni
Piezodorus guildinii
Atta cephalotes
Blissus leucopterus
